"date","title","price","link"
"2017-09-25 13:37","Studio 2 blocks from SJSU","$1425","https://sfbay.craigslist.orghttps://sfbay.craigslist.org/sby/apa/d/studio-2-blocks-from-sjsu/6286566240.html"
"2017-09-24 22:08","Clean & Cozy Upstairs Studio Apartment - 2 Blocks to SJSU","$1325","https://sfbay.craigslist.orghttps://sfbay.craigslist.org/sby/apa/d/clean-cozy-upstairs-studio/6316741202.html"
"2017-09-24 15:14","1 Room in huge Rivermark Townhouse - for single occupant","$1450","https://sfbay.craigslist.orghttps://sfbay.craigslist.org/sby/apa/d/1-room-in-huge-rivermark/6298576210.html"
"2017-09-24 13:11","Studio Apt Downtown SJ","$1500","https://sfbay.craigslist.orghttps://sfbay.craigslist.org/sby/apa/d/studio-apt-downtown-sj/6293222398.html"
"2017-09-24 13:11","Studio Apt Downtown SJ","$1500","https://sfbay.craigslist.orghttps://sfbay.craigslist.org/sby/apa/d/studio-apt-downtown-sj/6299563890.html"
"2017-09-23 23:15","$1500 - Luxury Large Master Bedroom with private Bathroom & Entrance","$1500","https://sfbay.craigslist.orghttps://sfbay.craigslist.org/sby/apa/d/1500-luxury-large-master/6315970659.html"
"2017-09-23 23:16","Luxury Large Master Bedroom Suite with private Bathroom & Entrance","$1500","https://sfbay.craigslist.orghttps://sfbay.craigslist.org/sby/apa/d/luxury-large-master-bedroom/6315973515.html"
"2017-09-23 17:59","高档臥室(独浴、$1100 全包","$1100","https://sfbay.craigslist.orghttps://sfbay.craigslist.org/sby/apa/d/1100/6318552650.html"
"2017-09-23 11:09","Small One-Bedroom Apartment","$1500","https://sfbay.craigslist.orghttps://sfbay.craigslist.org/sby/apa/d/small-one-bedroom-apartment/6314640641.html"
"2017-09-22 11:31","Cute Studio in Victorian apartment house","$1425","https://sfbay.craigslist.orghttps://sfbay.craigslist.org/sby/apa/d/cute-studio-in-victorian/6277063128.html"
"2017-09-21 10:11","Single room ideal for SJSU students - Room #6","$1295","https://sfbay.craigslist.orghttps://sfbay.craigslist.org/sby/apa/d/single-room-ideal-for-sjsu/6295879902.html"
"2017-09-21 08:41","[North San Jose] One studio available now-$1395/mon","$1395","https://sfbay.craigslist.orghttps://sfbay.craigslist.org/sby/apa/d/north-san-jose-one-studio/6311120818.html"
